"Ticker","Name"
"SCRYX","AB Sm Cp Core"
"JSMGX","Janus Triton"
"HFMIX","Hartfd:MidCap"
"JGMAX","Janus Triton"
"BCSSX","Brown Cap Sm Co"
"JMGRX","Janus Enterprise"
"JDMAX","Janus Enterprise"
"ETAGX","Eventide Gilead"
"FGROX","Emerald:Growth"
"BPTIX","Baron Partners Fund"
"JDMNX","Janus Enterprise"
"FMAGX","Fidelity Magellan Fund"
"JLGRX","JPMorgan:LgCp Gro"
"FUNYX","Pioneer Fndmntl Gro"
"PMCPX","Principal:MidCap"
"JGMNX","Janus Triton"
"IMIDX","Congress MC Gro"
"RNGGX","American Funds NEco"
"AKRIX","Akre Focus Fund"
"FAMGX","Fidelity Adv Srs Opp Ins"
"FWWEX","Fidelity Srs Opp Ins"
"RGAGX","American Funds Gro"
"BARIX","Baron Asset Fund"
"FVWSX","Fidelity Srs Opp Ins"
"AMOMX","AQR:Lg Cap Mom Style"
"TRMIX","T Rowe Price MC Vl"
"VSIAX","Vanguard SC Val Idx"
"XSLV","PowerShares S&P SmCp LV"
"VMVAX","Vanguard MC Val Idx"
"BOSVX","Bridgeway:Omni SCV"
"BWLYX","Am Beacon:BW LC Val"
"BWLIX","Am Beacon:BW LC Val"
"LVMIX","Lord Abbett Cal MCV"
"DSEEX","DoubleLine:Sh Enh CAPE"
"ESPNX","WellsFargo:Spec SCV"
"JDVWX","J Hancock III:Ds Val"
"JLVMX","JPMorgan:LgCp Val"
"TWQZX","Transam:Large Cp Val"
"JDVNX","J Hancock III:Ds Val"
"GIFFX","Invesco Gr & Income"
"WSCVX","Walthausen:SC Value"
"LBISX","LM BW Diversified LCV"
"ACSHX","Invesco Comstock"
"AMDVX","Amer Cent:MC Val"
"ACGQX","Invesco Gr & Income"
"FRGEX","Fidelity Srs Stk S LCV"
"FMMLX","Fidelity Adv Srs SS LCV"
"LCEFX","Invesco Dvsfd Div"
"FBLEX","Fidelity Srs Stk S LCV"
"ICSFX","Invesco Comstock"
"PRVIX","T Rowe Price SC Val"
"VSEMX","Vanguard Ext Mk Id"
"FLCPX","Fidelity SAI US LC Idx"
"MVSSX","Victory:Integrity SCV"
"JVMRX","J Hancock III:DVMC"
"ARAIX","Ariel:Fund"
"LYRIX","Lyrical US Val Eqty"
"BIAUX","Brown Adv SC FV"
"VSENX","JPMorgan:SmCp Eqty"
"DHMYX","Diamond Hill S/Md Cp"
"FSOFX","Fidelity Srs Sm Cap Op"
"CPXRX","Columbia:MdCp Index"
"OTIIX","T Rowe Price SC Stk"
"COFRX","Columbia:Cntr Core"
"FSSVX","Fidelity SmCp Id"
"SCHA","Schwab Str:US Sm Cap ETF"
"RAFGX","American Funds AMCP"
"XMLV","PowerShares S&P MidCp LV"
"FSKAX","Fidelity Tot Mk"
"FSKTX","Fidelity Tot Mk"
"VSTSX","Vanguard TSM Idx"
"FSTPX","Fidelity MdCp Id"
"RWMGX","American Funds Wash"
"FSCKX","Fidelity MdCp Id"
"TILT","FlexShs:MS US Mkt Fac"
"REIPX","T Rowe Price Eq Inc"
"SDOG","Alps Sect Div Dogs ETF"
"SPHD","PowerShares S&P500 HD LV"
"PVSYX","Putnam Cap Spectrum"
"QDF","FlexShs:Quality Div"
"PVSAX","Putnam Cap Spectrum"
"PEQSX","Putnam Equity Income"
"SCHD","Schwab Str:US Div Eq ETF"
"PVSCX","Putnam Cap Spectrum"
"OIEJX","JPMorgan:Equity Inc"
"PMDPX","Principal:Sm-MC DvI"
"PMDIX","Principal:Sm-MC DvI"
"TRPDX","T Rowe Price Ret:I2040"
"FRLLX","Fidelity Srs Eqty-Inc"
"FLMLX","Fidelity Adv Srs Eqty-In"
"ABCYX","Am Beacon:LCo Inc Eq"
"TRPJX","T Rowe Price Ret:I2035"
"FNKLX","Fidelity Srs Eqty-Inc"
"DVIPX","Davenport Value & Income"
"MQIFX","Franklin Mut Quest"
"OIERX","JPMorgan:Equity Inc"
"HDV","iShares:Core High Div"
