"Ticker","Name"
"SPY","SPDR S&P 500 ETF"
"IVV","iShares Core S&P 500 ETF"
"VTI","Vanguard Total Stock Market ETF"
"EFA","iShares MSCI EAFE ETF"
"VOO","Vanguard S&P 500 ETF"
"VWO","Vanguard FTSE Emerging Markets ETF"
"VEA","Vanguard FTSE Developed Markets ETF"
"QQQ","PowerShares QQQ ETF"
"IWM","iShares Russell 2000 ETF"
"IJH","iShares Core S&P Mid-Cap ETF"
"IWD","iShares Russell 1000 Value ETF"
"IWF","iShares Russell 1000 Growth ETF"
"EEM","iShares MSCI Emerging Markets ETF"
"VTV","Vanguard Value ETF"
"IJR","iShares Core S&P Small-Cap ETF"
"XLF","Financial Select Sector SPDR Fund"
"VUG","Vanguard Growth ETF"
"VIG","Vanguard Dividend Appreciation ETF"
"MDY","SPDR S&P MIDCAP 400 ETF"
"IEMG","iShares Core MSCI Emerging Markets ETF"
"XLE","Energy Select Sector SPDR Fund"
"VYM","Vanguard High Dividend Yield ETF"
"DVY","iShares Select Dividend ETF"
"IWB","iShares Russell 1000 ETF"
"VO","Vanguard Mid-Cap ETF"
"VB","Vanguard Small-Cap ETF"
"SDY","SPDR S&P Dividend ETF"
"EWJ","iShares MSCI Japan ETF"
"IVW","iShares S&P 500 Growth ETF"
"IEFA","iShares Core MSCI EAFE ETF"
"VEU","Vanguard FTSE All-World ex-US ETF"
"IWR","iShares Russell Mid-Cap ETF"
"DIA","SPDR Dow Jones® Industrial Average ETF"
"XLV","Health Care Select Sector SPDR Fund"
"XLK","Technology Select Sector SPDR Fund"
"USMV","iShares Edge MSCI Min Vol USA ETF"
"IVE","iShares S&P 500 Value ETF"
"RSP","Guggenheim S&P 500® Equal Weight ETF"
"XLY","Consumer Discretionary Select Sector SPDR Fund"
"XLI","Industrial Select Sector SPDR Fund"
"VGK","Vanguard FTSE Europe ETF"
"VGT","Vanguard Information Technology ETF"
"AGG","iShares Core U.S. Aggregate Bond ETF"
"BND","Total Bond Market ETF"
"LQD","iShares iBoxx"
"TIP","iShares TIPS Bond ETF"
"BSV","Short-Term Bond ETF"
"HYG","iShares iBoxx"
"VCSH","Vanguard Short-Term Corporate Bond ETF"
"JNK","SPDR Barclays Capital High Yield Bond ETF"
"CSJ","iShares 1-3 Year Credit Bond ETF"
"BIV","Intermediate-Term Bond ETF"
"SHY","iShares 1-3 Year Treasury Bond ETF"
"VCIT","Vanguard Intermediate-Term Corporate Bond ETF"
"GLD","SPDR Gold Shares ETF"
"IAU","iShares Gold Trust ETF"
"SLV","iShares Silver Trust ETF"
"USO","United States Oil Fund"
"DBC","PowerShares DB Commodity Index Tracking Fund"
"UCO","ProShares Ultra Bloomberg Crude Oil"
"GSG","iShares S&P GSCI Commodity-Indexed Trust ETF"
"VNQ","Vanguard REIT ETF"
"IYR","iShares U.S. Real Estate ETF"
"RWX","SPDR Dow Jones International Real Estate ETF"
"ICF","iShares Cohen & Steers REIT ETF"
"RWR","SPDR Dow Jones REIT ETF"
"VNQI","Vanguard Global ex-U.S. Real Estate ETF"
"SCHH","Schwab U.S. REIT ETF"
"XLRE","Real Estate Select Sector SPDR Fund"
"RWO","SPDR Dow Jones Global Real Estate ETF"
"REM","iShares Mortgage Real Estate Capped ETF"
