"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2006-05-26;136,479996;139,139999;135,940002;139,139999;13600,000000;126,648140
2006-06-03;138,809998;140,320007;135,029999;138,429993;800,000000;126,066208
2006-07-01;138,429993;140,580002;137,990005;138,119995;900,000000;125,952225
2006-08-01;137,779999;138,869995;135,979996;136,699997;1100,000000;124,817276
2006-09-02;136,149994;138,660004;135,050003;138,660004;400,000000;126,784981
2006-10-01;138,960007;146,699997;138,410004;146,309998;2900,000000;133,969193
2006-11-01;146,759995;148,039993;144,500000;146,279999;4000,000000;134,161789
2007-00-03;146,750000;146,750000;140,520004;144,169998;1600,000000;132,448410
2007-01-01;144,070007;144,250000;139,130005;143,279999;11600,000000;131,874100
2007-02-01;142,270004;144,199997;140,419998;143,600006;8000,000000;132,398712
2007-03-02;143,139999;150,240005;142,699997;149,830002;3500,000000;138,427124
2007-04-01;149,889999;149,910004;144,059998;144,800003;4700,000000;134,045639
2007-05-01;144,630005;146,410004;141,190002;146,410004;3800,000000;135,818405
2007-06-02;147,479996;151,199997;147,130005;148,789993;2200,000000;138,320984
2007-07-01;147,850006;149,800003;142,570007;145,639999;5000,000000;135,699966
2007-08-04;144,630005;155,860001;144,570007;155,649994;5700,000000;145,350143
2007-09-01;154,889999;162,570007;153,080002;157,779999;5500,000000;147,682663
2007-10-01;156,500000;167,850006;151,199997;157,059998;12700,000000;147,388000
2007-11-03;156,360001;157,729996;151,440002;155,039993;16400,000000;145,881577
2008-00-02;155,580002;159,100006;153,139999;157,789993;6600,000000;148,882034
2008-01-01;157,100006;163,229996;153,509995;162,720001;6600,000000;153,965012
2008-02-03;162,960007;169,830002;161,809998;168,800003;9100,000000;160,147980
2008-03-01;166,350006;171,850006;165,580002;167,029999;8900,000000;158,931946
2008-04-01;165,440002;170,149994;164,410004;167,270004;3700,000000;159,600815
2008-05-02;165,889999;169,470001;163,630005;166,759995;5100,000000;159,573044
2008-06-01;166,740005;168,940002;164,910004;165,660004;7400,000000;158,969452
2008-07-01;164,880005;165,259995;155,429993;155,729996;17600,000000;149,882919
2008-08-02;153,100006;155,320007;121,449997;144,570007;10600,000000;139,566757
2008-09-01;143,750000;145,000000;122,889999;129,089996;5700,000000;125,023743
2008-10-03;128,000000;131,449997;118,139999;123,459999;2000,000000;119,948334
2008-11-01;120,320000;132,000000;117,739998;128,100006;3000,000000;124,736221
2009-00-02;128,100006;129,259995;118,809998;120,000000;2700,000000;116,981331
2009-01-02;120,099998;125,410004;110,110001;110,889999;3600,000000;108,159981
2009-02-02;109,419998;127,500000;107,129997;121,339996;4600,000000;118,397552
2009-03-01;121,849998;125,309998;115,000000;124,250000;1400,000000;121,238991
2009-04-01;124,180000;134,440002;124,180000;132,380005;3600,000000;129,177170
2009-05-01;133,990005;135,440002;124,750000;129,789993;5000,000000;126,649826
2009-06-01;132,410004;138,710007;124,839996;138,679993;2500,000000;135,324738
2009-07-03;140,800003;142,289993;135,729996;140,210007;5900,000000;136,817734
2009-08-01;139,210007;146,839996;137,029999;143,320007;5200,000000;139,852493
2009-09-01;142,779999;147,779999;140,490005;140,949997;5800,000000;137,539825
2009-10-02;141,539993;146,970001;138,750000;143,119995;7900,000000;139,657318
2009-11-01;144,119995;146,000000;135,649994;139,350006;7000,000000;135,978546
2010-00-04;141,869995;142,210007;134,710007;134,990005;3000,000000;131,724030
2010-01-01;135,990005;140,339996;132,910004;139,729996;2300,000000;136,349335
2010-02-01;138,309998;141,500000;136,940002;138,000000;2500,000000;134,661194
2010-03-01;139,059998;139,899994;136,160004;137,320007;2500,000000;133,997650
2010-04-03;137,000000;137,000000;121,000000;127,500000;3000,000000;124,415237
2010-05-01;127,000000;129,830002;122,660004;127,660004;4100,000000;124,571365
2010-06-01;128,919998;138,690002;128,460007;138,210007;3300,000000;134,866119
2010-07-02;139,580002;140,699997;132,910004;134,750000;3400,000000;131,489822
2010-08-01;136,779999;148,440002;135,880005;147,740005;9600,000000;144,165543
2010-09-01;148,470001;152,070007;145,899994;149,050003;10400,000000;145,443848
2010-10-01;149,399994;153,179993;140,940002;141,899994;15000,000000;138,500290
2010-11-01;142,309998;149,059998;141,779999;148,960007;4800,000000;145,446503
2011-00-03;148,399994;155,699997;143,720001;154,490005;14200,000000;150,921036
2011-01-01;155,750000;163,470001;152,550003;157,389999;12500,000000;153,845657
2011-02-01;158,309998;159,410004;152,899994;158,070007;21300,000000;154,621368
2011-03-01;156,449997;168,440002;156,300003;168,440002;15900,000000;164,928925
2011-04-02;166,089996;166,449997;155,199997;161,199997;33500,000000;157,980515
2011-05-01;161,360001;162,449997;152,380005;157,500000;19300,000000;154,522171
2011-06-01;157,990005;159,690002;150,669998;158,429993;15600,000000;155,596603
2011-07-01;158,869995;159,020004;151,250000;157,160004;23200,000000;154,535629
2011-08-01;156,610001;156,850006;143,550003;145,330002;27700,000000;143,079788
2011-09-03;144,740005;157,509995;142,259995;153,000000;20600,000000;150,812637
2011-10-01;149,550003;152,559998;142,070007;146,990005;8700,000000;145,067764
2011-11-01;147,139999;148,339996;141,759995;144,570007;4500,000000;142,846558
2012-00-03;145,070007;147,860001;141,440002;145,940002;4400,000000;144,376984
2012-01-01;147,429993;151,990005;147,169998;150,429993;2000,000000;148,981201
2012-02-01;150,000000;150,559998;145,059998;150,110001;1900,000000;148,795853
2012-03-02;150,649994;150,899994;145,699997;147,889999;2100,000000;146,709641
2012-04-01;147,330002;147,429993;136,259995;136,660004;2900,000000;135,671097
2012-05-01;136,279999;144,270004;136,279999;143,820007;2200,000000;142,888031
2012-06-02;143,690002;146,690002;141,039993;146,550003;2200,000000;145,707718
2012-07-01;146,940002;151,479996;145,850006;150,270004;1900,000000;149,521637
2012-08-04;149,020004;152,979996;147,490005;151,809998;2000,000000;151,169647
2012-09-01;151,520004;151,899994;148,330002;150,089996;1500,000000;149,540634
2012-10-01;149,470001;150,589996;146,320007;149,250000;1400,000000;148,703720
2012-11-03;149,259995;153,309998;148,009995;153,139999;1700,000000;152,651062
2013-00-02;153,839996;156,940002;151,309998;156,639999;4200,000000;156,139893
2013-01-01;157,360001;158,380005;153,710007;154,389999;5700,000000;153,939331
2013-02-01;154,350006;157,449997;152,250000;152,990005;3000,000000;152,579010
2013-03-01;152,789993;156,990005;149,740005;153,380005;1800,000000;153,008957
2013-04-01;154,100006;154,240005;148,229996;150,130005;2400,000000;149,805893
2013-05-03;150,309998;155,880005;146,380005;148,440002;4400,000000;148,159012
2013-06-01;148,820007;154,220001;145,820007;152,660004;3000,000000;152,412094
2013-07-01;151,279999;153,830002;149,899994;150,160004;2300,000000;149,951523
2013-08-03;150,220001;157,169998;148,619995;154,580002;2600,000000;154,403427
2013-09-01;157,429993;157,479996;152,789993;153,690002;3100,000000;153,551193
2013-10-01;152,449997;153,419998;148,630005;152,160004;3000,000000;152,061172
2013-11-02;151,720001;155,130005;150,039993;154,559998;5600,000000;154,497162
2014-00-02;154,559998;155,339996;150,960007;151,979996;2600,000000;151,941803
2014-01-03;152,100006;155,229996;151,740005;155,160004;1800,000000;155,128159
2014-02-03;155,160004;156,919998;152,880005;153,600006;1800,000000;153,574432
2014-03-01;154,419998;154,419998;150,270004;152,919998;1900,000000;152,899506
2014-04-01;153,869995;153,869995;148,619995;148,619995;2500,000000;148,602997
2014-05-02;148,729996;150,100006;147,190002;148,600006;1400,000000;148,593002
2014-06-01;148,449997;148,970001;144,199997;144,199997;1200,000000;144,199997
2014-07-01;144,779999;145,570007;142,250000;142,250000;800,000000;142,250000
2014-08-02;142,000000;142,000000;135,080002;137,779999;600,000000;137,779999
2014-09-01;137,929993;138,789993;134,279999;134,529999;3100,000000;134,529999
2014-10-03;134,080002;134,899994;130,300003;134,289993;1600,000000;134,289993
2014-11-01;133,970001;134,000000;126,400002;126,830002;1100,000000;126,830002
2015-00-02;124,040001;125,750000;119,410004;119,879997;1000,000000;119,879997
2015-01-02;118,970001;121,360001;117,510002;118,209999;1000,000000;118,209999
2015-02-02;118,989998;120,150002;112,709999;114,889999;1200,000000;114,889999
2015-03-01;114,790001;118,930000;112,160004;118,930000;600,000000;118,930000
2015-04-01;118,099998;120,800003;115,529999;116,550003;600,000000;116,550003
2015-05-01;115,250000;122,000000;115,220001;120,480003;400,000000;120,480003
2015-06-01;120,480003;120,480003;114,239998;114,879997;300,000000;114,879997
2015-07-03;114,879997;120,550003;111,900002;116,949997;1400,000000;116,949997
2015-08-01;116,680000;120,150002;116,519997;117,540001;200,000000;117,540001
2015-09-01;117,989998;120,620003;114,980003;116,000000;700,000000;116,000000
2015-10-02;115,570000;115,589996;112,349998;112,820000;800,000000;112,820000
2015-11-01;113,089996;116,970001;112,910004;116,470001;1900,000000;116,470001
2016-00-04;116,199997;116,199997;114,010002;114,419998;1000,000000;114,419998
2016-01-01;114,419998;117,400002;114,300003;114,300003;300,000000;114,300003
2016-02-01;113,660004;120,940002;113,660004;120,620003;700,000000;120,620003
2016-03-01;120,510002;121,300003;120,029999;121,250000;700,000000;121,250000
2016-04-02;122,750000;122,769997;117,029999;117,180000;1300,000000;117,180000
2016-05-01;117,699997;120,360001;114,000000;115,050003;700,000000;115,050003
2016-06-01;115,589996;115,589996;112,559998;113,910004;800,000000;113,910004
2016-07-01;113,690002;116,309998;113,260002;113,639999;500,000000;113,639999
2016-08-01;113,639999;115,300003;113,199997;113,199997;1300,000000;113,199997
2016-09-03;113,199997;113,199997;107,309998;107,500000;400,000000;107,500000
2016-10-01;108,459999;108,970001;104,410004;104,839996;800,000000;104,839996
2016-11-01;104,839996;106,459999;104,839996;106,230003;1700,000000;106,230003
